incidnet_id ,status,service,title,improvement_possible,recognition_type,incident_grade,propagation_grade,occurred_at,ended_at,root_cause_L1,root_cause_L2,action_summary,cause_type_L1,cause_type_L2,cause_type_L3
INM24010128696,종료,RCS홀세일,p-ercs-pd1-mrg03 장비에서 MSG_HTTPSD 에서 2초 지연 이벤트 발생,,,,이상징후,2001-01-24 20:31:00,2001-01-24 20:33:00,환경원인,자연해소,"O 각 서비스 및 연동구간 (KT 내) 점검결과 특이사항 없음
1) 삼성MaaP : 서비스 특이사항 없음으로 확인.
2) 방화벽 : 분당국사 방화벽 점검 시 특이사항 없음.
3) 보안 : 이슈 시간동안 IPS/WAF 차단 이력 없음.
4) 네트워크 : 이슈 시간 동안 설비 점검 결과 특이사항 없음.
5) AP : 내부 이슈 가능성 없음. 관련 프로세스 확인 결과, 로그에는 실제 발송, 응답 수신 시각을 출력하고 있어 내부 지연과 무관.
6) 인프라 : Looks 확인 상, 전일자 MEM/CPU 비교시 특이사항 없었음. 인프라 담당자 확인 시, 서비스 정상.
7) DNS : DNS 로그가 1.2일자부터 있어 확인 불가했으나, 분당/대전 동일 세팅되어있고, DNS 이슈일 경우, RCS홀세일만 지연 발생 가능성 낮음.",AP 운영,운용,환경
INM24010128697,종료,업무용VDI,cnode09-5s0713c09-prod-ktvdi.kt.com에서 Agent 행 체크 불가 이벤트 발생,,,,이상징후,2001-01-24 22:11:00,2001-01-24 22:30:00,환경원인,외부귀책,"ㅇ 22:11  cnode09-5s0713c09-prod-ktvdi.kt.com에서 Agent 행 체크 불가 이벤트 발생 (LOOKS)
ㅇ 22:12  agent 행체크 불가 이벤트 발생 내용 TechCenter로 공유 (IT통합관제팀)
ㅇ 22:14   TechCenter로 HW 점검 요청 (IT통합관제팀)
ㅇ 22:17  이상징후 발생공지 SMS 발송 (TML31804)
ㅇ 22:17  컨퍼런스 콜 개설
ㅇ 22:19  OS 점검 진행중 (채널인프라팀)
ㅇ 22:21  해당 노드에 수용된  사용자(26명) 업무용VDI 접속 불가하나 현재 접속중인 사용자는 없음 (채널인프라팀)
ㅇ 22:22  해당 cnode 수용 사용자 대상으로 업무 공지 및 클러스터링 진행 중 (채널인프라팀)
ㅇ 22:25  콘솔은 확인했는데 무반응이고 화면 로딩이 계속 지연되어 확인 지연 중  (IPC-TechCenter)
ㅇ 22:30  고객 업무공지 완료 (채널인프라팀)
ㅇ 22:30  고객 업무 공지 완료시점으로 해소공지 후 후속조치 결정 (인프라BA혁신팀)
ㅇ 22:31  조치 완료까지 15분 정도 소요 예정 (채널인프라팀)
ㅇ 22:34  OS는 재부팅 로그는 없고 콘솔상으로 보았을 때는 올라와있는 상태로 키만 반응이 없는 상태 (IPC-TechCenter)
ㅇ 22:41  [완료]이상징후 해소공지 SMS 발송",Infra,서버,Storage
INM24010228699,종료,KOS-오더,기가지니 3로 변경시에 장기고객 지니TV 셋톱박스3 프로모션 할인 미적용 현상 발생,개선가능,VOC접수,,이상징후,2002-01-24 09:39:00,2002-01-24 09:39:00,인적원인,업무 완결성 부족,"O 인시던트 조치 내역 :
(2024.01.02 09:40) 업무확인창 공지
(2024.01.02 09:57) 온라인 서비스 영향도 없음 확인
(2024.01.02 10:13) '장기고객 지니TV 셋톱박스3 프로모션 할인' 관련 기준정보 적용 일부누락 확인
(2024.01.02 10:19) '장기고객 지니TV 셋톱박스3 프로모션 할인' 관련 기준정보 수정 및 적용, 이상징후 발생/해소 공지",AP 운영,운용,운용 오류
INM24010228700,종료,에너지통합관제플랫폼,배치 스케쥴러 미 동작 현상 발생,개선가능,AO부서,,이상징후,2002-01-24 10:02:00,2002-01-24 10:18:00,환경원인,외부귀책,"1) c-eomp-pk1-a03(10.220.200.129) 서버의 eompwas32
2) c-eomp-pk1-a08(10.220.200.171) 서버의 eompwas82
인스턴스 재기동하여 조치",AP 운영,운용,운용 오류
INM24010228701,종료,KOS-CRM(B2C),일부 서버(csblsms04)에서 프로세서(workflow component) 기동 불량 이벤트 발생,,,,이상징후,2002-01-24 10:14:00,2002-01-24 10:14:00,환경원인,사용량 과부하,WF 컴포넌트 재기동 후 정상,AP 운영,운용,환경
INM24010228703,종료,KOS-공통, KOS KAIT 연동 오류 및 내국인/외국인 부정가입방지 간헐적 처리 불가 현상 발생,,,,3등급,2002-01-24 11:17:00,2002-01-24 11:31:00,환경원인,외부귀책,행공센측 서버 조치,AP 운영,운용,환경
INM24010228706,종료,OSS-OM,OSS-OM-개통관리(pcuiap06)에서 CPU과점유 현상 발생,,,,이상징후,2002-01-24 13:22:00,2002-01-24 13:22:00,Infra원인,Infra S/W결함,"O [파악된 현상] 인시던트 조치 내역 : Time-Table 작성
01/02 13:20 pcuiap06 CPU 이상징후 발생
01/02 13:20 cuiSvr65 인스턴스 CPU 과점유 현상 확인
01/02 13:22 cuiSvr65 중지 완료 및 인프라 점검 정상 확인
01/02 13:22 이상징후 발생/해소 공지",Infra,미들웨어,WAS
INM24010228707,종료,KOS-오더,B-MON 관제에서 할부신용체크조회SO (InslCrdtChkRetvSO ) 다량 오류 발생하여 운영부서 확인 중입니다.,,,,3등급,2002-01-24 14:02:00,2002-01-24 14:35:00,환경원인,외부귀책,KAIT측 서버조치,AP 운영,운용,환경
INM24010228708,종료,네트워크설비운영관제,탄방 레거시 백본 - 방화벽 2호기 간 다운/업 이벤트 발생,,,,이상징후,2002-01-24 14:42:00,2002-01-24 14:42:00,Infra원인,Infra H/W결함,"[01/02]
14:40 탄방 레거시 백본 - 방화벽 2호기 간 다운/업 이벤트 발생
14:42 IT통합관제 확인요청 / 백업장비로 서비스 영향없음 , 이상징후 발생/해소 공지
14:44 후속 조치로 20:00 GBIC 교체 진행 예정 ( 방화벽 파트 )
20:00 후속 조치로 방화벽 파트 GBIC 교체 진행
20:10 특이사항 없으며 인터페이스 정상 확인
21:00 모니터링 결과 특이사항 발생 이력 없으며 정상으로 확인 완료",Infra,네트워크,기타
INM24010328710,종료,아이엠/쇼미,BD-F3-SMAPP01 장비에서 APP01_MMCISS CONTDOWN 9998 Port Check 이벤트 발생,,,,이상징후,2003-01-24 04:53:00,2003-01-24 04:53:00,환경원인,외부귀책,"O [파악된 현상] 인시던트 조치 내역 : Time-Table 작성
O 조치 후 서비스 정상화 등 결과 포함
O 외부개발사 관련 인시던트의 경우 외부개발사 호출시간 작성 필수
04:14 9998포트아눙 알람 발생
04:54 포트 업다운 현상 지속되어 L4차단과 이상징후 발생/해소 공지 전파 결정
04:58 SMAPP01 L4차단
05:00 이상징후 발생/해소 공지 전파",AP 운영,운용,환경
